[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.ide.systemDefault.org.eclipse.ui.workbench.INACTIVE_UNSELECTED_TABS_COLOR_END = 234,232,230
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.ide.systemDefault.org.eclipse.ui.workbench.INACTIVE_UNSELECTED_TABS_COLOR_START = 234,232,230
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.ide.systemDefault.org.eclipse.ui.workbench.LINK_COLOR = 0,1,2
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.ACTIVE_NOFOCUS_TAB_BG_END = 255,255,255
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.ACTIVE_NOFOCUS_TAB_BG_START = 255,255,255
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.ACTIVE_NOFOCUS_TAB_TEXT_COLOR = 16,16,16
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.ACTIVE_TAB_BG_END = 255,255,255
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.ACTIVE_TAB_BG_START = 255,255,255
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.ACTIVE_TAB_INNER_KEYLINE_COLOR = 205,199,194
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.ACTIVE_TAB_OUTER_KEYLINE_COLOR = 205,199,194
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.ACTIVE_TAB_OUTLINE_COLOR = 205,199,194
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.ACTIVE_UNSELECTED_TABS_COLOR_END = 225,222,219
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.ACTIVE_UNSELECTED_TABS_COLOR_START = 225,222,219
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.INACTIVE_TAB_BG_END = 246,245,244
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.INACTIVE_TAB_BG_START = 246,245,244
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.INACTIVE_TAB_INNER_KEYLINE_COLOR = 213,208,204
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.INACTIVE_TAB_OUTER_KEYLINE_COLOR = 213,208,204
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.INACTIVE_TAB_OUTLINE_COLOR = 213,208,204
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.INACTIVE_UNSELECTED_TABS_COLOR_END = 234,232,230
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.r30.org.eclipse.ui.workbench.INACTIVE_UNSELECTED_TABS_COLOR_START = 234,232,230
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.workbench/org.eclipse.ui.workbench.ACTIVE_TAB_TEXT_COLOR = 221,221,221
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.wst.sse.ui/hoverModifiers = combinationHover|true|0;problemHover|false|0;documentationHover|false|0;annotationHover|true|Shift;
[2022-03-20 15:01:17] 
